cz,Name,Household_Income_at_Age_35_rA_gF_p25
cz4902,Dyersburg,
cz4903,Lexington,
cz5100,Corinth,
cz5201,New Albany,
cz5402,Glasgow,
cz6301,McMinnville,
cz6402,Crossville,
cz6501,Ellijay,
cz8201,Barnwell,
cz8402,Washington,
cz8501,Fitzgerald,
cz8502,Cordele,
cz9702,Americus,
cz10101,Bainbridge,
cz10301,Eufaula,
cz10600,Jasper,
cz10802,Demopolis,
cz11002,Atmore,
cz11102,Troy,
cz11202,Welch,
cz11203,Big Stone Gap,
cz11303,Colonial Beach,
cz11403,Sault Ste. Marie,
cz12002,Ludington,
cz12702,Maysville,
cz12902,Mount Sterling,
cz13102,Madison,
cz13103,Bardstown,
cz14801,Olney,
cz14802,Vincennes,
cz16701,Elkins,
cz16703,Buckhannon,
cz16802,Summersville,
cz16902,Spencer,
cz18202,St. Marys,
cz19903,Chincoteague,
cz20002,Calais,
cz20003,Presque Isle,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz21001,Ashland,
cz21002,Houghton,
cz21003,Ironwood,
cz21502,Pine City,
cz22002,Iowa Falls,
cz24702,Mexico,
cz25101,Mountain Home,
cz25102,West Plains,
cz25103,Harrison,
cz25104,Heber Springs,
cz25105,Batesville,
cz25402,Murray,
cz25602,Harrisburg,
cz25702,Poplar Bluff,
cz26001,Roseau,
cz26004,International Falls,
cz26101,Moberly,
cz26102,Marshall,
cz26103,Brookfield,
cz26104,Trenton,
cz26105,Polk,
cz26106,Centerville,
cz26107,Kirksville,
cz26301,Devils Lake,
cz26409,Glendive,
cz26501,Brookings,
cz26502,Madison,
cz26504,Watertown,
cz26601,Milbank,
cz26602,Sisseton,
cz26605,Aberdeen,
cz26702,Grafton,
cz26703,Thief River Falls,
cz26802,Lisbon,
cz26803,Jamestown,
cz27001,O'Neill,
cz27005,Yankton,
cz27006,Mitchell,
cz27007,Huron,
cz27008,Parkston,
cz27011,Pierre,
cz27301,Spencer,
cz27302,Fairmont,
cz27502,Creston,
cz27503,Atlantic,
cz27504,Carroll,
cz27605,Mission,
cz27701,Scottsbluff,
cz27703,Torrington,
cz27801,Columbus-Norfolk,
cz27802,Columbus,
cz28002,West Point,
cz28102,Nebraska City,
cz28201,Red Oak,
cz28301,Sterling,
cz28302,Ogallala,
cz28304,Valentine,
cz28305,Broken Bow,
cz28306,North Platte,
cz28503,Trinidad,
cz28603,Phillipsburg,
cz28605,Goodland,
cz28608,Kearney,
cz28609,Lexington,
cz28701,Salida,
cz28704,Laramie,
cz29004,Great Bend,
cz29005,Hutchinson,
cz29006,Hays,
cz29101,Concordia,
cz29103,Beloit,
cz29201,Hiawatha,
cz29202,Marysville,
cz29401,Ottawa,
cz29505,Polk,
cz29506,Bethany,
cz29602,Eldon,
cz29902,Center,
cz30403,Okmulgee,
cz30501,Woodward,
cz30603,Truth or Consequences,
cz30604,Deming,
cz30801,Hobbs,
cz30902,Littlefield,
cz30904,Pampa,
cz30906,Memphis,
cz30908,Plainview,
cz31002,Ulysses,
cz31005,Perryton,
cz31006,Guymon,
cz31102,La Grange,
cz31103,Gonzales,
cz31202,Burnet,
cz31302,Beeville,
cz31402,Pecos,
cz31403,Fort Stockton,
cz31404,Alpine,
cz31501,Crystal City,
cz31502,Pearsall,
cz32302,Brady,
cz32303,Junction,
cz32304,Uvalde,
cz32305,Del Rio,
cz32306,Eagle Pass,
cz32401,Big Spring,
cz32402,Sweetwater,
cz32403,Snyder,
cz32502,Childress,
cz32602,Graham,
cz32604,Vernon,
cz32701,Brownwood,
cz32702,Stephenville,
cz32802,Corsicana,
cz33801,Elk City,
cz33901,Ada,
cz34002,Idabel,
cz34110,Sitka,
cz34112,Bethel,
cz34201,Havre,
cz34202,Shelby,
cz34204,Lewistown,
cz34301,Cody,
cz34303,Riverton,
cz34304,Sheridan,
cz34305,Miles City,
cz34401,Dillon,
cz34402,Bozeman,
cz34403,Helena,
cz34404,Butte-Silver Bow,
cz34502,Libby,
cz34601,Gillette,
cz34603,Casper,
cz34801,Las Vegas,
cz34803,Tucumcari,
cz34804,Clayton,
cz34805,Alamosa,
cz34902,Socorro,
cz35002,Safford,
cz35202,Gunnison,
cz35402,Cortez,
cz35702,Burley,
cz35902,Price,
cz35903,Moab,
cz35904,Richfield,
cz36302,Salmon,
cz36401,Steamboat Springs,
cz36402,Vernal,
cz36403,Soda Springs,
cz36502,Burns,
cz37903,Mammoth Lakes,
cz39205,John Day,
cz20402,Nantucket,
cz21202,Redwood Falls,
cz26303,Turtle Mountain UT,
cz26305,Rugby,
cz26404,Lemmon,
cz26410,Dickinson,
cz26411,Sidney,
cz26412,Williston,
cz27002,Ord,
cz27902,York,
cz28604,Colby,
cz28607,McCook,
cz29001,Pratt,
cz29102,Superior,
cz32503,Haskell,
cz33603,Frederick,
cz34302,Worland,
cz34602,Rawlins,
cz36503,Lakeview,
cz37602,Winnemucca,
cz39301,Friday Harbor,
cz26604,Mobridge,
cz27010,Miller,
cz31003,Scott City,
cz27603,Southwest Jackson UT,
cz26408,Glasgow,
cz27004,Winner,
cz26406,Wolf Point,
cz34107,Dillingham,
cz26603,East Corson UT,
cz27704,Gordon,
cz27602,Eagle Butte,
cz34307,Colstrip,
cz34105,Kotzebue,
cz27009,Chamberlain,
cz34106,Nome,
cz34101,Sand Point,
cz34103,Valdez,
cz34113,Barrow,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz34114,Unalaska,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz30905,Wellington,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz34501,Bonners Ferry,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz3201,Jena,
cz29007,Township 11,
cz28504,Burlington,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
