cz,Name,Household_Income_at_Age_35_rH_gM_p25
cz18500,Amsterdam,29856
cz27502,Creston,29851
cz9002,Milledgeville,29809
cz25102,West Plains,29791
cz35202,Gunnison,29775
cz35500,Gallup,29762
cz13501,Toledo,29694
cz33901,Ada,29690
cz34102,Anchorage,29680
cz34802,Santa Fe,29636
cz12100,Kalamazoo,29597
cz16600,Roanoke,29593
cz20100,Portland,29573
cz30603,Truth or Consequences,29573
cz30100,Fort Smith,29527
cz36901,Crescent City,29514
cz1100,Hickory,29506
cz15600,Wheeling,29460
cz34001,Hot Springs,29430
cz11401,Marquette,29427
cz19901,Dover,29384
cz12200,Grand Rapids,29379
cz16400,Youngstown,29366
cz9701,Columbus,29364
cz401,Winston-Salem,29326
cz1002,Morganton,29279
cz29301,Wichita,29240
cz34702,Kapaa,29240
cz34804,Clayton,29229
cz8100,Columbia,29228
cz10700,Birmingham,29188
cz8503,Valdosta,29173
cz34801,Las Vegas,29158
cz15200,Cleveland,29064
cz24900,Edwardsville,29063
cz1203,Asheville,29055
cz27102,Marshall,29051
cz5900,Clarksville,29027
cz27503,Atlantic,29017
cz34202,Shelby,29007
cz3202,Natchez,29006
cz12701,Cincinnati,28993
cz35100,Tucson,28993
cz8402,Washington,28992
cz12002,Ludington,28981
cz29204,Topeka,28967
cz35001,Phoenix,28958
cz12402,Grayling charter,28942
cz38902,Newport,28938
cz13400,Lima,28937
cz17700,Syracuse,28930
cz32801,Waco,28923
cz31303,Kerrville,28921
cz6900,Sarasota,28869
cz15900,Columbus,28866
cz602,Galax,28855
cz17900,Union,28852
cz10101,Bainbridge,28823
cz18900,Williamsport,28808
cz34902,Socorro,28711
cz1900,Jacksonville,28700
cz3001,Kosciusko,28694
cz17100,Huntington,28670
cz23301,Charleston,28665
cz1600,Wilson,28657
cz28102,Nebraska City,28649
cz18000,Buffalo,28641
cz11500,Jackson,28638
cz39303,Port Angeles,28624
cz6000,Huntsville,28621
cz11800,Mount Pleasant,28613
cz29503,St. Joseph,28599
cz3203,Vicksburg,28587
cz4401,London,28580
cz28701,Salida,28578
cz12600,Wayne,28568
cz1400,Fayetteville,28551
cz34115,Fairbanks,28514
cz32303,Junction,28496
cz18300,Watertown,28495
cz11600,Detroit,28486
cz22200,Cedar Rapids,28457
cz5202,Memphis,28455
cz34901,Albuquerque,28452
cz36902,Roseburg,28440
cz38700,Longview,28363
cz19000,Allentown,28362
cz29005,Hutchinson,28362
cz8201,Barnwell,28324
cz1500,Wilmington,28298
cz23700,Galesburg,28289
cz6100,Gadsden,28280
cz2600,Roanoke Rapids,28240
cz8900,Macon,28185
cz19100,Reading,28181
cz15100,Lorain,28162
cz12800,Washington,28158
cz27101,Willmar,28148
cz29201,Hiawatha,28146
cz30403,Okmulgee,28145
cz500,Greensboro,28081
cz6401,Chattanooga,28062
cz16500,Erie,28058
cz34201,Havre,28055
cz28502,Pueblo,27942
cz19700,Philadelphia,27925
cz800,Gastonia,27917
cz33802,Chickasha,27892
cz1301,Bennettsville,27871
cz6502,Cleveland,27779
cz22700,Wausau,27765
cz18201,Olean,27739
cz200,Morristown,27687
cz6501,Ellijay,27673
cz5402,Glasgow,27601
cz34308,Billings,27429
cz700,Spartanburg,27353
cz3901,Monroe,27337
cz9500,Talladega,27267
cz601,North Wilkesboro,27199
cz5300,West Memphis,27131
cz26101,Moberly,27087
cz25104,Heber Springs,27072
cz25200,Henderson,27062
cz29504,Sedalia,27021
cz12501,Dayton,26996
cz14400,Terre Haute,26990
cz21001,Ashland,26978
cz20800,Springfield,26964
cz19200,Harrisburg,26949
cz11900,Saginaw,26916
cz5800,Dickson,26895
cz1201,Franklin,26879
cz1302,Florence,26848
cz6402,Crossville,26757
cz6200,Florence,26727
cz28002,West Point,26683
cz8702,Statesboro,26611
cz4902,Dyersburg,26559
cz11700,Lansing,26513
cz5700,Tullahoma,26487
cz13200,Owensboro,26324
cz11201,Bluefield,26319
cz4702,Clarksdale,26296
cz10301,Eufaula,26277
cz14802,Vincennes,26195
cz14000,Muncie,26175
cz3003,Jackson,25897
cz15800,Athens,25887
cz5000,Tupelo,25760
cz100,Johnson City,25657
cz5500,Columbia,25631
cz14300,Columbus,25606
cz8602,Brunswick,25588
cz12302,Petoskey,25528
cz1702,Henderson,25351
cz9001,Vidalia,25298
cz10801,Tuscaloosa,25277
cz25401,Paducah,25045
cz10200,Albany,25004
cz6302,Cookeville,24916
cz20902,Pittsfield,24848
cz6301,McMinnville,24634
cz17502,Winchester,24618
cz20003,Presque Isle,24456
cz2200,South Boston,24365
cz15300,Parkersburg,24288
cz26412,Williston,24154
cz16901,Charleston,24140
cz2100,Washington,24115
cz20200,Burlington,24085
cz10102,Thomasville,23667
cz9702,Americus,23581
cz22602,Shawano,23476
cz4901,Jackson,23454
cz25702,Poplar Bluff,23045
cz17000,Pikeville,23018
cz10400,Meridian,23010
cz5100,Corinth,22935
cz11002,Atmore,22863
cz25602,Harrisburg,22644
cz24600,Farmington,22418
cz4800,Greenville,22362
cz4701,Greenwood,22208
cz27005,Yankton,22138
cz12001,Big Rapids,22064
cz9800,Auburn,21818
cz20700,Keene,21801
cz4903,Lexington,21302
cz12502,Washington Court House,19328
cz21502,Pine City,18226
cz4601,Campbellsville,16890
cz34109,Juneau,16523
cz9003,Dublin,16109
cz12903,Danville,15199
cz3002,Yazoo City,
cz4501,West Liberty,
cz4502,Hazard,
cz11202,Welch,
cz11203,Big Stone Gap,
cz12902,Mount Sterling,
cz16701,Elkins,
cz16703,Buckhannon,
cz16802,Summersville,
cz16902,Spencer,
cz18202,St. Marys,
cz20002,Calais,
cz20403,Oak Bluffs,
cz21003,Ironwood,
cz24702,Mexico,
cz26001,Roseau,
cz26004,International Falls,
cz26103,Brookfield,
cz26104,Trenton,
cz26301,Devils Lake,
cz26409,Glendive,
cz26501,Brookings,
cz26502,Madison,
cz26601,Milbank,
cz26602,Sisseton,
cz26802,Lisbon,
cz27001,O'Neill,
cz27006,Mitchell,
cz27007,Huron,
cz27008,Parkston,
cz27011,Pierre,
cz27605,Mission,
cz28304,Valentine,
cz28305,Broken Bow,
cz28603,Phillipsburg,
cz29101,Concordia,
cz29103,Beloit,
cz29202,Marysville,
cz29505,Polk,
cz29506,Bethany,
cz34110,Sitka,
cz34112,Bethel,
cz34204,Lewistown,
cz34305,Miles City,
cz34401,Dillon,
cz36502,Burns,
cz39205,John Day,
cz20402,Nantucket,
cz26303,Turtle Mountain UT,
cz26305,Rugby,
cz26404,Lemmon,
cz26410,Dickinson,
cz27002,Ord,
cz29102,Superior,
cz39301,Friday Harbor,
cz26604,Mobridge,
cz27010,Miller,
cz27603,Southwest Jackson UT,
cz26408,Glasgow,
cz27004,Winner,
cz26406,Wolf Point,
cz34107,Dillingham,
cz26603,East Corson UT,
cz27704,Gordon,
cz27602,Eagle Butte,
cz34307,Colstrip,
cz34105,Kotzebue,
cz27009,Chamberlain,
cz34106,Nome,
cz34101,Sand Point,
cz34103,Valdez,
cz34113,Barrow,
cz26402,Baker,
cz31304,Mason,
