cz,Name,Household_Income_at_Age_35_rW_gM_p25
cz37700,Santa Rosa,35454
cz16802,Summersville,35442
cz29104,Salina,35421
cz33901,Ada,35420
cz31600,Brownsville,35413
cz16702,Morgantown,35412
cz34701,Honolulu,35410
cz37400,Sacramento,35405
cz29601,Columbia,35404
cz39303,Port Angeles,35402
cz30903,Amarillo,35380
cz23400,Bloomington,35352
cz30601,El Paso,35335
cz16703,Buckhannon,35330
cz18201,Olean,35309
cz34002,Idabel,35270
cz25500,Centralia,35252
cz17800,Oneonta,35230
cz13200,Owensboro,35229
cz4001,Magnolia,35184
cz29403,Bartlesville,35181
cz33803,Oklahoma City,35172
cz31503,Laredo,35158
cz32604,Vernon,35150
cz2900,Hattiesburg,35110
cz30403,Okmulgee,35074
cz35801,Boise City,35068
cz11401,Marquette,34950
cz11303,Colonial Beach,34946
cz14700,Evansville,34926
cz20003,Presque Isle,34904
cz24702,Mexico,34891
cz30402,Tulsa,34797
cz32801,Waco,34788
cz36501,Klamath Falls,34780
cz16500,Erie,34779
cz13502,Defiance,34719
cz37000,Modesto,34713
cz24400,Rockford,34680
cz33200,Paris,34668
cz28401,Colorado Springs,34650
cz2400,Richmond,34639
cz11302,Baltimore,34625
cz29502,Kansas City,34620
cz26102,Marshall,34589
cz3203,Vicksburg,34584
cz18100,Elmira,34566
cz29504,Sedalia,34541
cz28502,Pueblo,34540
cz2100,Washington,34515
cz24801,Jacksonville,34511
cz24701,St. Louis,34501
cz18400,Plattsburgh,34499
cz13300,Findlay,34479
cz7000,Miami,34467
cz29902,Center,34458
cz17700,Syracuse,34444
cz17900,Union,34434
cz13501,Toledo,34428
cz26101,Moberly,34422
cz38801,Portland,34391
cz20700,Keene,34372
cz35001,Phoenix,34372
cz25601,Carbondale,34364
cz34901,Albuquerque,34323
cz27604,Murdo,34319
cz19903,Chincoteague,34265
cz13800,Wayne,34213
cz11002,Atmore,34209
cz13103,Bardstown,34204
cz30300,Fayetteville,34200
cz29401,Ottawa,34177
cz33500,Texarkana,34166
cz4103,El Dorado,34158
cz16400,Youngstown,34143
cz24900,Edwardsville,34123
cz23700,Galesburg,34085
cz16701,Elkins,34068
cz34703,Kahului,34067
cz38100,Yuma,34054
cz18500,Amsterdam,34011
cz29301,Wichita,34006
cz37604,Reno,33994
cz15000,Canton,33973
cz14802,Vincennes,33962
cz19902,Easton,33962
cz12800,Washington,33959
cz15200,Cleveland,33935
cz25102,West Plains,33932
cz23301,Charleston,33918
cz2200,South Boston,33891
cz39203,Bend,33882
cz2600,Roanoke Rapids,33877
cz24000,Kenosha,33869
cz23900,Peoria,33849
cz30602,Alamogordo,33825
cz37200,Fresno,33789
cz25104,Heber Springs,33776
cz29503,St. Joseph,33753
cz10400,Meridian,33745
cz17400,Hagerstown,33733
cz8402,Washington,33714
cz25200,Henderson,33701
cz4302,Searcy,33691
cz11403,Sault Ste. Marie,33675
cz17502,Winchester,33662
cz10801,Tuscaloosa,33649
cz1701,Raleigh,33643
cz2300,Lynchburg,33634
cz4701,Greenwood,33621
cz14100,Fort Wayne,33599
cz9702,Americus,33594
cz17200,Harrisonburg,33586
cz16902,Spencer,33571
cz4101,Crossett,33569
cz18300,Watertown,33561
cz25103,Harrison,33553
cz4301,Stuttgart,33548
cz12002,Ludington,33510
cz13000,Elizabethtown,33505
cz8501,Fitzgerald,33466
cz32900,Killeen,33460
cz7100,Port St. Lucie,33444
cz13102,Madison,33439
cz11001,Mobile,33410
cz35600,Hilo,33400
cz11900,Saginaw,33387
cz37300,Chico,33385
cz20100,Portland,33348
cz17501,Cumberland,33345
cz12301,Traverse City,33326
cz29901,Joplin,33324
cz2500,Newport News,33290
cz33902,Sherman,33280
cz36600,Redding,33279
cz29800,Aurora,33278
cz14500,Lafayette,33221
cz31202,Burnet,33185
cz9100,Atlanta,33164
cz1800,Goldsboro,33096
cz30907,Matador,33092
cz7200,Cape Coral,33087
cz38901,Eugene,33051
cz35100,Tucson,33042
cz8702,Statesboro,33010
cz24802,Springfield,33002
cz15400,Zanesville,32984
cz10301,Eufaula,32952
cz20001,Bangor,32910
cz38902,Newport,32864
cz13600,South Bend,32858
cz17300,Staunton,32858
cz30100,Fort Smith,32842
cz25701,Cape Girardeau,32836
cz29602,Eldon,32790
cz12401,Alpena,32732
cz25401,Paducah,32689
cz11301,Fredericksburg,32669
cz8000,Sumter,32668
cz29501,Leavenworth,32607
cz15100,Lorain,32574
cz16801,Beckley,32548
cz12200,Grand Rapids,32531
cz17600,Charlottesville,32531
cz10101,Bainbridge,32524
cz20902,Pittsfield,32512
cz38700,Longview,32512
cz34102,Anchorage,32484
cz8202,Charleston,32468
cz2700,Gulfport,32466
cz30000,Russellville,32422
cz25105,Batesville,32421
cz11600,Detroit,32415
cz12001,Big Rapids,32412
cz5900,Clarksville,32375
cz29700,Springfield,32372
cz11800,Mount Pleasant,32366
cz12402,Grayling charter,32366
cz25300,Union City,32360
cz15300,Parkersburg,32350
cz36901,Crescent City,32274
cz4102,Pine Bluff,32263
cz7400,Orlando,32262
cz36902,Roseburg,32251
cz14600,Bloomington,32242
cz2000,Virginia Beach,32229
cz8100,Columbia,32224
cz8800,Savannah,32216
cz1201,Franklin,32212
cz11700,Lansing,32196
cz34702,Kapaa,32187
cz25402,Murray,32185
cz37901,Las Vegas,32137
cz5402,Glasgow,32135
cz11500,Jackson,32134
cz25101,Mountain Home,32101
cz34106,Nome,32094
cz19901,Dover,32080
cz10700,Birmingham,32055
cz30200,Muskogee,32043
cz30605,Van Horn,32038
cz5000,Tupelo,32002
cz15500,Steubenville,32002
cz36800,Medford,32001
cz11201,Bluefield,32000
cz6200,Florence,31948
cz1202,Sylva,31916
cz5600,Nashville,31916
cz14400,Terre Haute,31910
cz7700,Lake City,31883
cz9301,Winder,31883
cz13900,Center,31855
cz9900,Tallahassee,31843
cz1600,Wilson,31826
cz5401,Bowling Green,31791
cz10302,Dothan,31783
cz5300,West Memphis,31779
cz12302,Petoskey,31770
cz7900,Gainesville,31748
cz11101,Montgomery,31740
cz24500,Rolla,31698
cz25900,Jonesboro,31672
cz8503,Valdosta,31642
cz4200,Little Rock,31632
cz6900,Sarasota,31613
cz4702,Clarksdale,31601
cz9302,Toccoa,31598
cz9003,Dublin,31591
cz36700,Eureka,31439
cz4601,Campbellsville,31437
cz5202,Memphis,31431
cz8401,Aiken,31423
cz19800,Wilmington,31393
cz34001,Hot Springs,31355
cz9800,Auburn,31331
cz12100,Kalamazoo,31328
cz4903,Lexington,31325
cz5800,Dickson,31257
cz16000,Mansfield,31257
cz11202,Welch,31251
cz34111,Ketchikan,31238
cz24600,Farmington,31231
cz10600,Jasper,31209
cz8900,Macon,31206
cz10102,Thomasville,31187
cz10900,Pensacola,31167
cz8601,Waycross,31119
cz34109,Juneau,31093
cz13101,Louisville,31048
cz1900,Jacksonville,31045
cz9500,Talladega,31022
cz4901,Jackson,31001
cz12501,Dayton,30972
cz12701,Cincinnati,30951
cz5700,Tullahoma,30942
cz25800,Blytheville,30942
cz900,Charlotte,30922
cz5100,Corinth,30881
cz9400,Gainesville,30873
cz1302,Florence,30814
cz16600,Roanoke,30784
cz7500,Deltona,30768
cz10200,Albany,30768
cz4902,Dyersburg,30708
cz1204,Andrews,30694
cz11203,Big Stone Gap,30685
cz6800,Lakeland,30684
