cz,Name,Household_Income_at_Age_35_rB_gM_p25
cz13800,Wayne,15355
cz12502,Washington Court House,15170
cz33603,Frederick,9857
cz1201,Franklin,
cz1202,Sylva,
cz4501,West Liberty,
cz6501,Ellijay,
cz11403,Sault Ste. Marie,
cz12302,Petoskey,
cz14801,Olney,
cz16701,Elkins,
cz16703,Buckhannon,
cz16802,Summersville,
cz16902,Spencer,
cz18202,St. Marys,
cz20002,Calais,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz21001,Ashland,
cz21002,Houghton,
cz21003,Ironwood,
cz21004,Rhinelander,
cz21102,Amery,
cz21201,Hutchinson,
cz21502,Pine City,
cz21802,Decorah,
cz22002,Iowa Falls,
cz22602,Shawano,
cz25101,Mountain Home,
cz25102,West Plains,
cz25103,Harrison,
cz25104,Heber Springs,
cz26001,Roseau,
cz26004,International Falls,
cz26104,Trenton,
cz26105,Polk,
cz26106,Centerville,
cz26107,Kirksville,
cz26301,Devils Lake,
cz26409,Glendive,
cz26501,Brookings,
cz26502,Madison,
cz26504,Watertown,
cz26601,Milbank,
cz26602,Sisseton,
cz26605,Aberdeen,
cz26701,Bemidji,
cz26702,Grafton,
cz26703,Thief River Falls,
cz26802,Lisbon,
cz26803,Jamestown,
cz26901,Fergus Falls,
cz26902,Little Falls,
cz27001,O'Neill,
cz27005,Yankton,
cz27006,Mitchell,
cz27007,Huron,
cz27008,Parkston,
cz27011,Pierre,
cz27101,Willmar,
cz27201,Sioux Center,
cz27301,Spencer,
cz27302,Fairmont,
cz27401,Storm Lake,
cz27502,Creston,
cz27503,Atlantic,
cz27504,Carroll,
cz27605,Mission,
cz27701,Scottsbluff,
cz27703,Torrington,
cz27802,Columbus,
cz27901,Hastings,
cz28002,West Point,
cz28102,Nebraska City,
cz28201,Red Oak,
cz28301,Sterling,
cz28302,Ogallala,
cz28304,Valentine,
cz28305,Broken Bow,
cz28306,North Platte,
cz28503,Trinidad,
cz28603,Phillipsburg,
cz28605,Goodland,
cz28608,Kearney,
cz28609,Lexington,
cz28701,Salida,
cz28702,Glenwood Springs,
cz28704,Laramie,
cz29006,Hays,
cz29101,Concordia,
cz29103,Beloit,
cz29201,Hiawatha,
cz29202,Marysville,
cz29505,Polk,
cz29506,Bethany,
cz29902,Center,
cz30501,Woodward,
cz30603,Truth or Consequences,
cz30604,Deming,
cz31002,Ulysses,
cz31005,Perryton,
cz31006,Guymon,
cz31403,Fort Stockton,
cz31404,Alpine,
cz31501,Crystal City,
cz31502,Pearsall,
cz32303,Junction,
cz32304,Uvalde,
cz32306,Eagle Pass,
cz34109,Juneau,
cz34110,Sitka,
cz34111,Ketchikan,
cz34112,Bethel,
cz34201,Havre,
cz34202,Shelby,
cz34204,Lewistown,
cz34301,Cody,
cz34303,Riverton,
cz34304,Sheridan,
cz34305,Miles City,
cz34401,Dillon,
cz34402,Bozeman,
cz34403,Helena,
cz34404,Butte-Silver Bow,
cz34502,Libby,
cz34601,Gillette,
cz34702,Kapaa,
cz34801,Las Vegas,
cz34803,Tucumcari,
cz34804,Clayton,
cz34805,Alamosa,
cz34902,Socorro,
cz35202,Gunnison,
cz35402,Cortez,
cz35702,Burley,
cz35802,Ontario,
cz35902,Price,
cz35903,Moab,
cz35904,Richfield,
cz36302,Salmon,
cz36401,Steamboat Springs,
cz36402,Vernal,
cz36403,Soda Springs,
cz36502,Burns,
cz36901,Crescent City,
cz37601,Elko,
cz37903,Mammoth Lakes,
cz38401,Lewiston,
cz38602,Colville,
