cz,Name,Household_Income_at_Age_35_rB_gF_p25
cz9302,Toccoa,22838
cz8201,Barnwell,22826
cz3902,Lake Providence,22817
cz3102,Brookhaven,22808
cz1203,Asheville,22792
cz9001,Vidalia,22748
cz9301,Winder,22744
cz9600,LaGrange,22721
cz2800,Laurel,22719
cz11002,Atmore,22716
cz10502,Starkville,22674
cz9003,Dublin,22672
cz800,Gastonia,22662
cz11101,Montgomery,22656
cz7500,Deltona,22632
cz7900,Gainesville,22626
cz18900,Williamsport,22613
cz30904,Pampa,22601
cz25900,Jonesboro,22587
cz7700,Lake City,22576
cz3901,Monroe,22568
cz25500,Centralia,22561
cz16400,Youngstown,22558
cz14100,Fort Wayne,22548
cz25000,Quincy,22515
cz30200,Muskogee,22512
cz12600,Wayne,22498
cz5202,Memphis,22486
cz8402,Washington,22460
cz14700,Evansville,22453
cz8702,Statesboro,22448
cz12901,Lexington-Fayette,22438
cz13400,Lima,22430
cz6302,Cookeville,22387
cz14000,Muncie,22382
cz15100,Lorain,22360
cz17800,Oneonta,22351
cz12301,Traverse City,22331
cz8602,Brunswick,22288
cz12001,Big Rapids,22282
cz30802,Lubbock,22187
cz11900,Saginaw,22165
cz3400,Houma,22161
cz8601,Waycross,22141
cz24400,Rockford,22139
cz4301,Stuttgart,22100
cz6600,Rome,22095
cz12200,Grand Rapids,22079
cz27402,Fort Dodge,22046
cz5300,West Memphis,22012
cz26101,Moberly,22000
cz10501,Columbus,21991
cz9002,Milledgeville,21987
cz13200,Owensboro,21928
cz25702,Poplar Bluff,21910
cz24801,Jacksonville,21882
cz1301,Bennettsville,21869
cz302,Knoxville,21837
cz8503,Valdosta,21824
cz4902,Dyersburg,21793
cz18201,Olean,21739
cz25701,Cape Girardeau,21679
cz4702,Clarksdale,21668
cz4800,Greenville,21630
cz12401,Alpena,21574
cz4001,Magnolia,21553
cz10200,Albany,21530
cz32604,Vernon,21526
cz4701,Greenwood,21519
cz10301,Eufaula,21515
cz30902,Littlefield,21510
cz11201,Bluefield,21506
cz5000,Tupelo,21464
cz4903,Lexington,21446
cz9200,Griffin,21407
cz4302,Searcy,21401
cz1100,Hickory,21350
cz13300,Findlay,21330
cz25300,Union City,21206
cz25800,Blytheville,21187
cz29402,Emporia,21108
cz15400,Zanesville,21056
cz16500,Erie,21002
cz8501,Fitzgerald,20990
cz4101,Crossett,20975
cz29403,Bartlesville,20970
cz3002,Yazoo City,20845
cz4602,Somerset,20733
cz24600,Farmington,20693
cz14802,Vincennes,20431
cz9702,Americus,20390
cz8502,Cordele,20258
cz5100,Corinth,19982
cz15700,Scioto,19922
cz602,Galax,19558
cz32402,Sweetwater,19103
cz27801,Columbus-Norfolk,18859
cz25402,Murray,18526
cz12402,Grayling charter,15299
cz26103,Brookfield,14790
cz1001,Boone,
cz1201,Franklin,
cz1202,Sylva,
cz1204,Andrews,
cz4501,West Liberty,
cz6501,Ellijay,
cz11403,Sault Ste. Marie,
cz12002,Ludington,
cz12302,Petoskey,
cz14801,Olney,
cz16701,Elkins,
cz16703,Buckhannon,
cz16802,Summersville,
cz16902,Spencer,
cz18202,St. Marys,
cz20002,Calais,
cz20003,Presque Isle,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz21001,Ashland,
cz21002,Houghton,
cz21003,Ironwood,
cz21004,Rhinelander,
cz21102,Amery,
cz21201,Hutchinson,
cz21502,Pine City,
cz21802,Decorah,
cz22002,Iowa Falls,
cz22602,Shawano,
cz25101,Mountain Home,
cz25102,West Plains,
cz25103,Harrison,
cz26001,Roseau,
