cz,Name,Household_Income_at_Age_35_rW_gF_p25
cz38902,Newport,34392
cz9800,Auburn,34336
cz17000,Pikeville,34332
cz5600,Nashville,34254
cz8100,Columbia,34251
cz9400,Gainesville,34248
cz29501,Leavenworth,34227
cz1201,Franklin,34195
cz36902,Roseburg,34159
cz29700,Springfield,34157
cz20001,Bangor,34151
cz4200,Little Rock,34142
cz8501,Fitzgerald,34095
cz13000,Elizabethtown,34063
cz19800,Wilmington,34042
cz10900,Pensacola,34017
cz7500,Deltona,34011
cz30100,Fort Smith,33974
cz2700,Gulfport,33971
cz24500,Rolla,33967
cz8702,Statesboro,33948
cz29503,St. Joseph,33939
cz25200,Henderson,33913
cz9702,Americus,33898
cz30000,Russellville,33844
cz4702,Clarksdale,33832
cz25701,Cape Girardeau,33820
cz34001,Hot Springs,33819
cz900,Charlotte,33782
cz1202,Sylva,33762
cz5000,Tupelo,33754
cz1800,Goldsboro,33745
cz14600,Bloomington,33745
cz12402,Grayling charter,33697
cz13600,South Bend,33646
cz1204,Andrews,33635
cz5900,Clarksville,33632
cz34109,Juneau,33607
cz30200,Muskogee,33547
cz6700,Tampa,33516
cz11002,Atmore,33491
cz10200,Albany,33487
cz11800,Mount Pleasant,33487
cz16901,Charleston,33467
cz5700,Tullahoma,33439
cz6000,Huntsville,33407
cz14400,Terre Haute,33398
cz17300,Staunton,33396
cz9003,Dublin,33360
cz30603,Truth or Consequences,33349
cz1203,Asheville,33309
cz11500,Jackson,33304
cz8503,Valdosta,33285
cz15300,Parkersburg,33262
cz16600,Roanoke,33242
cz8701,Hinesville,33234
cz1500,Wilmington,33189
cz9302,Toccoa,33157
cz6302,Cookeville,33141
cz36901,Crescent City,33136
cz12001,Big Rapids,33135
cz4901,Jackson,33113
cz15100,Lorain,33079
cz1302,Florence,33062
cz7800,Ocala,33040
cz12701,Cincinnati,33030
cz25401,Paducah,33019
cz20002,Calais,32967
cz10000,Panama City,32949
cz12702,Maysville,32934
cz15500,Steubenville,32929
cz1301,Bennettsville,32923
cz5500,Columbia,32893
cz602,Galax,32873
cz8401,Aiken,32862
cz25900,Jonesboro,32834
cz4102,Pine Bluff,32819
cz4501,West Liberty,32785
cz15900,Columbus,32761
cz8601,Waycross,32756
cz6200,Florence,32755
cz8900,Macon,32745
cz13101,Louisville,32740
cz10600,Jasper,32737
cz12100,Kalamazoo,32704
cz8602,Brunswick,32663
cz24600,Farmington,32658
cz5401,Bowling Green,32654
cz7600,Jacksonville,32603
cz25300,Union City,32602
cz13102,Madison,32582
cz1001,Boone,32557
cz601,North Wilkesboro,32521
cz11203,Big Stone Gap,32519
cz15400,Zanesville,32496
cz6501,Ellijay,32469
cz1702,Henderson,32451
cz9001,Vidalia,32449
cz5100,Corinth,32356
cz16000,Mansfield,32345
cz5201,New Albany,32342
cz10101,Bainbridge,32341
cz6800,Lakeland,32338
cz6100,Gadsden,32319
cz15800,Athens,32299
cz401,Winston-Salem,32286
cz14200,Indianapolis,32245
cz12501,Dayton,32231
cz5800,Dickson,32172
cz9600,LaGrange,32159
cz9500,Talladega,32054
cz500,Greensboro,32040
cz4903,Lexington,32014
cz1400,Fayetteville,31983
cz7700,Lake City,31908
cz25702,Poplar Bluff,31805
cz17100,Huntington,31795
cz6402,Crossville,31752
cz4602,Somerset,31662
cz14300,Columbus,31577
cz9002,Milledgeville,31544
cz8300,Greenville,31538
cz9200,Griffin,31535
cz402,Martinsville,31516
cz6301,McMinnville,31461
cz13900,Center,31416
cz6401,Chattanooga,31362
