tract,Name,Household_Income_at_Age_35_rH_gM_p25
6073017033,"Rancho Peñasquitos, San Diego, CA",57663
35001000119,"Stardust Skies Park, Albuquerque, NM",57638
8005083700,"Aurora, CO",57619
8069001107,"Wagon Wheel, Fort Collins, CO",57611
34023003102,"Woodbridge Township, NJ",57584
17043844701,"Westmont, IL",57579
34013020800,"Livingston, NJ",57553
6073008350,"Mira Mesa, San Diego, CA",57550
36059520600,"Farmingdale, NY",57480
36047043400,"Kings County, NY",57476
48071710100,"Mont Belvieu, TX",57473
12031014411,"Southside, Jacksonville, FL",57473
12011070317,"Weston, FL",57469
36081115700,"Queens County, NY",57447
17031806400,"Des Plaines, IL",57434
48157673001,"Cinco Ranch North Lake Village, Katy, TX",57397
48039661502,"Alvin, TX",57375
24033806300,"Hyattsville, MD",57327
12103027326,"Oldsmar, FL",57264
34003041100,"Palisades Park, NJ",57239
6013345111,"San Ramon, CA",57226
48029191816,"Far North Central, San Antonio, TX",57221
6059099512,"Old Towne, Seal Beach, CA",57204
12086007901,"Riviera, Coral Gables, FL",57200
12086007501,"Riviera, Coral Gables, FL",57168
51153900905,"Triangle, VA",57156
17197880901,"Lockport, IL",57148
48071710200,"Baytown, TX",57111
34013007000,"Ironbound District, Newark, NJ",57092
49035104800,"Sugar House, Salt Lake City, UT",57069
6059032034,"Mission Viejo, CA",57055
42017100600,"Bristol, PA",57044
17197880114,"Bolingbrook, IL",57039
17031810701,"Elmwood Park, IL",56999
25017321200,"Marlborough, MA",56994
35049010602,"Santa Fe, NM",56980
6037460501,"La Cañada Flintridge, CA",56922
12099007201,"Boca Raton, FL",56921
36059413400,"Oceanside, NY",56896
6013320003,"Martinez, CA",56891
17097861011,"Round Lake Beach, IL",56889
22051025003,"Terrytown, LA",56857
13121011427,"Alpharetta, GA",56814
48201252000,"Summerwood, Houston, TX",56798
48291701200,"Liberty, TX",56789
45085000300,"Dalzell, SC",56782
6029006500,"California City, CA",56755
12099007820,"West Palm Beach, FL",56714
6017030801,"Rescue, CA",56697
6097150500,"Glen Ellen, CA",56670
53033021903,"Kingsgate, Kirkland, WA",56643
24031700835,"Germantown, MD",56628
53033009400,"Greater Duwamish, Seattle, WA",56621
6059099239,"Huntington Beach, CA",56585
34021003001,"Robbinsville, NJ",56556
6087120800,"Santa Cruz, CA",56553
48201341400,"Seabrook, TX",56518
12011060121,"Plantation, FL",56502
6077003112,"Stockton, CA",56482
6057000102,"Grass Valley, CA",56476
48201100000,"Central Business District, Houston, TX",56473
36087011603,"Suffern, NY",56378
48167725500,"Galveston, TX",56322
12031013800,"Jacksonville, FL",56311
17089852002,"St. Charles, IL",56294
6041110200,"San Rafael, CA",56274
16063950100,"Shoshone, ID",56263
48357950400,"Perryton, TX",56251
36059412900,"Baldwin, NY",56250
12071010701,"Caloosahatchee, Cape Coral, FL",56211
48375011800,"Amarillo, TX",56205
34003014000,"Emerson, NJ",56204
34021003201,"Lawrence Township, NJ",56204
34023000801,"South Plainfield, NJ",56203
48041002002,"College Station, TX",56199
36081122701,"Queens County, NY",56188
6065041808,"Corona, CA",56136
6081602900,"Edgemar - Pacific Manor, Pacifica, CA",56127
4013116714,"Ahwatukee Foothills Village, Phoenix, AZ",56111
18127051006,"Valparaiso, IN",56085
17097864409,"Lake Zurich, IL",56057
48439113403,"Hurst, TX",56043
36061014000,"Upper East Side, New York, NY",56042
6073008346,"Sorrento Valley, San Diego, CA",56036
48003950300,"Andrews, TX",56024
34003028002,"Leonia, NJ",56012
12086016300,"Miami, FL",56009
48423002007,"Tyler, TX",56000
48121021403,"Lake Dallas, TX",55974
48157671900,"Meadows, Meadows Place, TX",55967
53011041309,"Wildwood, Vancouver, WA",55963
24031701212,"Rockville, MD",55917
6001442900,"Blacow, Fremont, CA",55905
12057006300,"South Tampa, Tampa, FL",55887
6037901007,"Lancaster, CA",55883
51059452801,"Alexandria, VA",55876
6073003114,"Bay Terraces, San Diego, CA",55845
36119009500,"White Plains, NY",55817
48201233002,"Northeast Houston, Houston, TX",55795
12031014335,"Arlington, Jacksonville, FL",55790
48439113519,"Euless, TX",55782
12099007837,"Water Catchment Area, Royal Palm Beach, FL",55768
48251130208,"Burleson, TX",55738
34039033200,"Union, NJ",55730
12057011007,"Lutz, FL",55724
17031150401,"Portage Park, Chicago, IL",55717
41005020600,"Sunset, West Linn, OR",55704
36047095600,"Kings County, NY",55692
48317950100,"Lenorah, TX",55687
20091052419,"Seven Hills, Shawnee, KS",55673
17031828505,"Lansing, IL",55661
48121021518,"The Colony, TX",55656
39063000100,"Fostoria, OH",55652
25017352400,"The Port, Cambridge, MA",55650
6013313205,"Pittsburg, CA",55599
48085030405,"Preston Vineyards, Frisco, TX",55589
12099002005,"Palm Beach Lakes, West Palm Beach, FL",55586
6065043250,"Temecula, CA",55584
48099010803,"Copperas Cove, TX",55579
13135050205,"Duluth, GA",55573
16073950102,"Marsing, ID",55572
36085014604,"Richmond County, NY",55570
17031802503,"Wheeling, IL",55570
24031700309,"Germantown, MD",55535
48491020326,"Cedar Park, TX",55476
18039002101,"Elkhart, IN",55439
6081611300,"Redwood City, CA",55412
48167720400,"Friendswood, TX",55410
6085505302,"Santa Clara, CA",55407
6001441501,"Union City, CA",55341
9003490302,"Rocky Hill, CT",55340
49049000802,"Suncrest, Orem, UT",55338
48453001754,"North Austin, Austin, TX",55336
12031015801,"Arlington, Jacksonville, FL",55335
4013810200,"South Tempe, Chandler, AZ",55321
48439113510,"Euless, TX",55320
34031124402,"Clifton, NJ",55310
31055007466,"South Central Omaha, Omaha, NE",55286
42071012800,"New Holland, PA",55271
17043840911,"Glendale Heights, IL",55256
12117021317,"Oviedo, FL",55245
41059950600,"Pendleton, OR",55158
36119002000,"Northeast Yonkers, Yonkers, NY",55151
48115950600,"Lamesa, TX",55129
18089040600,"Highland, IN",55122
48245010300,"Port Arthur, TX",55104
48491020322,"Cedar Park, TX",55074
29165030209,"Park Forest, Kansas City, MO",55060
8059011710,"Kendrick Lake, Lakewood, CO",55058
34023000100,"Middlesex, NJ",55046
49035113522,"Salt Lake City, UT",55045
48113016624,"Cedar Hill, TX",55003
25027730700,"West Tatnuck, Worcester, MA",55003
51683910301,"Manassas, VA",54998
12009064102,"Melbourne, FL",54980
6001430200,"Castro Valley, CA",54979
48183000300,"Longview, TX",54969
41067033302,"Forest Grove, OR",54953
6001431000,"Castro Valley, CA",54892
6111006400,"Thousand Oaks, CA",54875
34017018900,"Hoboken, NJ",54875
12011070319,"Weston, FL",54845
48439113926,"Fort Worth, TX",54832
4013319910,"Raintree, Tempe, AZ",54800
22051025102,"Gretna, LA",54795
36081066000,"Queens County, NY",54771
34003025200,"Hasbrouck Heights, NJ",54762
48353950500,"Roscoe, TX",54702
34013014000,"Belleville, NJ",54697
39095004400,"Southside, Toledo, OH",54693
6001450746,"Pleasanton, CA",54691
48329000402,"Lilly Heights, Midland, TX",54688
6013334200,"Walnut Creek, CA",54674
6039000106,"Coarsegold, CA",54654
12031016808,"Southside, Jacksonville, FL",54637
51059431002,"Springfield, VA",54628
12099007614,"Boca Raton, FL",54617
6081605300,"Burlingame Terrace, Burlingame, CA",54600
36081003800,"Queens County, NY",54590
36071014302,"Chester, NY",54540
42077005704,"Fullerton, PA",54536
48355005414,"South Side, Corpus Christi, TX",54530
34039038000,"Summit, NJ",54520
22095070300,"LaPlace, LA",54505
6085512025,"Edenvale, San Jose, CA",54492
48245011101,"Nederland, TX",54481
34023001701,"Edison, NJ",54479
36047055400,"Kings County, NY",54478
24031703206,"Silver Spring, MD",54456
24031701414,"Silver Spring, MD",54451
6001432200,"Old San Leandro, San Leandro, CA",54447
17031825200,"Oak Forest, IL",54447
8041003000,"Colorado Springs, CO",54433
48165950100,"Seagraves, TX",54429
24031700817,"Gaithersburg, MD",54422
6059063201,"East Side Costa Mesa, Costa Mesa, CA",54409
48201455102,"Katy, TX",54399
48245007100,"Port Arthur, TX",54388
12101032008,"Land O Lakes, Land O' Lakes, FL",54388
48201343302,"La Porte, TX",54384
6077003203,"Stockton, CA",54384
24031701304,"Olney, MD",54354
17031807400,"Skokie, IL",54327
15003008405,"Ewa, Ewa Beach, HI",54320
48501950200,"Denver City, TX",54308
12011060211,"Sunrise, FL",54298
48201250702,"Kingwood Glen, Humble, TX",54283
25021420302,"Randolph, MA",54226
48439111546,"West Arlington, Arlington, TX",54218
6037570002,"Lakewood, CA",54202
6059099234,"Fountain Valley, CA",54195
48245010200,"Port Arthur, TX",54194
51059432701,"Springfield, VA",54187
48435950300,"Sonora, TX",54183
16083000900,"Twin Falls, ID",54182
6013383000,"Richmond Annex, Richmond, CA",54177
12086007807,"Pinecrest, FL",54158
55079160300,"Oak Creek, WI",54152
6001442200,"Mission Valley, Fremont, CA",54095
48085031313,"Murphy, TX",54088
6059032051,"Rancho Santa Margarita, CA",54065
56031959400,"Wheatland, WY",54062
6037296401,"San Pedro, Los Angeles, CA",54059
51059491303,"Centreville, VA",54019
36085000800,"Richmond County, NY",54007
6095252313,"Fairfield, CA",53993
22017024303,"Airport, Pines Road, Shreveport, LA",53992
6087120400,"Boulder Creek, CA",53984
6111001602,"Ventura, CA",53965
48481741100,"Louise, TX",53928
18089012700,"Gary, IN",53927
9009345100,"Naugatuck, CT",53871
48383950100,"Big Lake, TX",53868
48135000400,"Odessa, TX",53860
10003013903,"Newark, DE",53847
48201452100,"Westside, Houston, TX",53838
6073019701,"Vista, CA",53829
17097861508,"Gurnee, IL",53821
51153901233,"Manassas, VA",53799
15003008922,"Waipahu, HI",53791
12109021302,"St. Augustine, FL",53788
17031820103,"La Grange, IL",53784
6037800324,"Agoura Hills, CA",53784
53053072107,"Lakewood, WA",53767
36081091900,"Queens County, NY",53758
6013303203,"Brentwood, CA",53752
32003004919,"Las Vegas, NV",53747
34003050000,"Rochelle Park, NJ",53707
6037141101,"Sherman Oaks, Los Angeles, CA",53706
36059411901,"Lynbrook, NY",53702
17093890201,"Montgomery, IL",53701
6111001700,"Ventura, CA",53655
41005023902,"Molalla, OR",53654
20191962400,"Wellington, KS",53652
6059099243,"Huntington Beach, CA",53641
36071013400,"Monroe, NY",53638
8005006603,"Littleton, CO",53601
12011110341,"Pembroke Pines, FL",53597
35001003737,"Peppertree-Royal Oak, Albuquerque, NM",53591
6001441601,"Centerville, Fremont, CA",53582
6071008500,"South Redlands, Redlands, CA",53574
34025806000,"Long Branch, NJ",53562
34013015500,"Bloomfield, NJ",53542
9001042700,"Norwalk, CT",53518
36119008700,"West Harrison, Harrison, NY",53488
6095252611,"Fairfield, CA",53487
48475950200,"Monahans, TX",53487
12057011409,"Carrollwood Village Phase I, Tampa, FL",53483
6067009630,"Elk Grove, CA",53482
6059099222,"Westminster, CA",53480
6059042111,"San Clemente, CA",53472
24003740103,"Hanover, MD",53466
6013304002,"Byron, CA",53455
48029181820,"Northwest Side, San Antonio, TX",53455
48453001722,"Hardrock Canyon, Austin, TX",53444
12099007607,"Boca Raton, FL",53441
53011041318,"Fircrest, Vancouver, WA",53430
48201253000,"Country Terrace, Highlands, TX",53428
8013013212,"Longmont, CO",53414
51153900802,"Woodbridge, VA",53409
48295950200,"Booker, TX",53398
36103200902,"East Hampton, NY",53394
34003023301,"Hackensack, NJ",53384
6013360102,"El Sobrante Hills, Richmond, CA",53367
6059099412,"Huntington Beach, CA",53339
6081605000,"Mills Estates, Burlingame, CA",53326
55079160204,"Oak Creek, WI",53323
40109107403,"Southeast Oklahoma City, Oklahoma City, OK",53321
6001450743,"Pleasanton, CA",53318
36119001700,"Bryn Mawr, Yonkers, NY",53304
6037403403,"Valle Lindo, Walnut, CA",53269
36047043600,"Kings County, NY",53248
12011020321,"Cypress Glen, Coral Springs, FL",53248
6059052511,"Woodbridge, Irvine, CA",53221
48461950200,"McCamey, TX",53220
17031828000,"Lansing, IL",53214
12099000903,"West Palm Beach, FL",53199
36047018700,"Kings County, NY",53193
24031703502,"Kensington, MD",53188
34035050701,"Bridgewater, NJ",53170
53053940010,"Puyallup, WA",53159
