tract,Name,Household_Income_at_Age_35_rW_gF_p25
34031246002,"Wayne, NJ",76359
37119005520,"Mallard Creek - Withrow Downs, Charlotte, NC",76326
6001400300,"Shafter, Oakland, CA",76299
36047006000,"Kings County, NY",76296
36093033002,"Schenectady, NY",76287
8005087000,"Dayton Triangle, Denver, CO",76257
32031003515,"Sparks, NV",76220
6085507205,"Los Gatos, CA",76213
51059415200,"Alexandria, VA",76206
19153011113,"West Des Moines, IA",76192
24031700608,"Rockville, MD",76154
34027046400,"Mendham, NJ",76148
6037670201,"Rolling Hills Estates, CA",76096
28089030104,"Ridgeland, MS",76087
42003473500,"Pittsburgh, PA",76075
12086007400,"Riviera, Coral Gables, FL",76068
51059421103,"Lorton, VA",76026
34035052901,"Far Hills, NJ",76016
48113007101,"Dallas, TX",76010
51107610703,"Hamilton, VA",75981
48303010509,"Lubbock, TX",75975
4019004063,"Civano, Tucson, AZ",75967
48201340202,"Clear Lake, Houston, TX",75939
17031805600,"Park Ridge, IL",75924
51059480902,"Herndon, VA",75919
36005022404,"Bronx County, NY",75893
12071050204,"Fort Myers, FL",75878
6111007513,"Simi Valley, CA",75863
34025810004,"Yorketown, Manalapan Township, NJ",75851
36103111601,"East Northport, NY",75813
37125950701,"Pinehurst, NC",75804
36119005300,"Pelham, Village of Pelham, NY",75802
42101000300,"Center City, Philadelphia, PA",75801
42003070500,"Shadyside, Pittsburgh, PA",75797
42091200103,"Montgomery County, PA",75794
38089963300,"Richardton, ND",75786
6071000813,"Upland, CA",75766
6037211500,"Central LA, Los Angeles, CA",75757
25021403300,"Needham, MA",75752
6001421500,"Berkeley Hills, Berkeley, CA",75710
36081122300,"Queens County, NY",75703
24031701508,"Silver Spring, MD",75692
6075047801,"Outer Richmond, San Francisco, CA",75690
34027044404,"White Meadow Lake, Rockaway, NJ",75673
32017950200,"Lincoln County, NV",75670
34025806502,"Monmouth County, NJ",75641
9001020200,"North Stamford, Stamford, CT",75631
13067030335,"Marietta, GA",75594
36059410000,"Valley Stream, NY",75586
25017374000,"Oak Hill, Newton, MA",75565
24031700611,"Boyds, MD",75540
6037139702,"Encino, Los Angeles, CA",75538
42091204500,"Merion Station, PA",75506
6085503327,"Cadwallader, San Jose, CA",75503
17031806900,"Skokie, IL",75501
1089002701,"Huntsville, AL",75426
24033802104,"District Heights, MD",75419
17043846304,"Naperville, IL",75400
48113009609,"Northwest Dallas, Dallas, TX",75399
24033806706,"Greenbelt, MD",75386
24033800705,"Upper Marlboro, MD",75374
36119014805,"Yorktown Heights, NY",75362
36081150701,"Queens County, NY",75352
6037271801,"Palms, Los Angeles, CA",75327
49049010212,"Lehi, UT",75301
15007040204,"Kapaa, HI",75300
36047046201,"Kings County, NY",75285
36047005000,"Kings County, NY",75264
36061014200,"Upper East Side, New York, NY",75259
42003474202,"Upper Saint Clair, PA",75213
36087013002,"Blauvelt, NY",75193
36061020500,"Upper Manhattan, New York, NY",75186
6001441402,"Northgate, Fremont, CA",75185
48321730202,"Sweeny, TX",75183
13067030318,"Marietta, GA",75173
48453001856,"Manor, TX",75168
36059521602,"Massapequa Park, NY",75168
36005026702,"Bronx County, NY",75161
34003019104,"Fort Lee, NJ",75157
12086004605,"Key Biscayne, FL",75143
48157673002,"Westside, Katy, TX",75139
34003042301,"Paramus, NJ",75088
38105953400,"Tioga, ND",75060
34017007000,"Downtown Jersey City, Jersey City, NJ",75049
17013951300,"Brussels, IL",75019
6093000200,"Macdoel, CA",75019
6001422500,"Northside, Berkeley, CA",75002
17097864515,"Buffalo Grove, IL",75001
6001401200,"Temescal, Oakland, CA",74995
36081145101,"Queens County, NY",74961
36061001401,"Lower East Side, New York, NY",74958
51059415700,"Alexandria, VA",74937
36081074900,"Queens County, NY",74923
17031801702,"Techny, Northbrook, IL",74918
36103112213,"Dix Hills, NY",74872
12099005945,"Boynton Beach, FL",74839
48285000300,"Moulton, TX",74814
12086009021,"Miami, FL",74792
12086007801,"Miami, FL",74790
34003019102,"Fort Lee, NJ",74772
34027040801,"Montville, NJ",74753
31055007448,"West Omaha, Omaha, NE",74718
21111008700,"Cherokee Gardens, Louisville, KY",74676
4027011501,"Somerton, AZ",74675
36081152901,"Queens County, NY",74671
24027606701,"Kings Contrivance, Columbia, MD",74642
36119002402,"Southeast Yonkers, Yonkers, NY",74612
36081097300,"Queens County, NY",74608
40003956000,"Helena, OK",74608
34003053100,"Saddle River, NJ",74601
25017354700,"North Cambridge, Cambridge, MA",74590
42045408900,"Havertown, PA",74576
34039037602,"Springfield Township, NJ",74570
6085511701,"Los Altos Hills, CA",74553
17031805902,"Niles, IL",74535
6037139802,"Tarzana, Los Angeles, CA",74510
48201420800,"Southwest Houston, Houston, TX",74507
25021416101,"Milton, MA",74496
39061022400,"Cincinnati, OH",74495
38089963900,"Dickinson, ND",74474
12099002700,"West Palm Beach, FL",74415
6059032035,"Mission Viejo, CA",74412
34013020300,"Essex County, NJ",74407
36061018300,"Upper West Side, New York, NY",74351
36081001200,"Queens County, NY",74336
25021416102,"Milton, MA",74312
48029190604,"Central Los Angeles Heights, San Antonio, TX",74307
36059416000,"Seaford, NY",74302
34039032800,"Union County, NJ",74299
9001042500,"Norwalk, CT",74275
6037109400,"Mission Hills, Los Angeles, CA",74237
34035053904,"Belle Mead, Montgomery, NJ",74233
34027040702,"Butler, NJ",74219
36081010100,"Queens County, NY",74213
29095008500,"South Kansas City, Kansas City, MO",74142
36119005500,"Pelham, Pelham Manor, NY",74141
36047062000,"Kings County, NY",74136
36059302300,"Albertson, NY",74128
42101023600,"Mount Airy, Philadelphia, PA",74104
36119008902,"White Plains, NY",74081
51059481702,"Fairfax, VA",74058
34017019300,"Hoboken, NJ",74046
48201522500,"Northwest Houston, Houston, TX",74027
25017338300,"Winchester, MA",74027
26125194200,"Rochester Hills, MI",74013
29189217841,"Chesterfield, MO",74010
36119009500,"White Plains, NY",74008
9001060900,"Fairfield, CT",73993
24005402407,"Windsor Mill, Milford Mill, MD",73993
25021400800,"Coolidge Corner South Side, Brookline, MA",73993
53033024901,"Somerset, Bellevue, WA",73982
51059415100,"Alexandria, VA",73962
20173010001,"Wichita, KS",73961
25017373300,"Nonantum, Newton, MA",73959
46067968800,"Tripp, SD",73932
36059518502,"Jericho, NY",73929
36081069300,"Queens County, NY",73924
42027012300,"State College, PA",73913
29189215004,"St. Louis, MO",73912
36081099701,"Queens County, NY",73909
20091053302,"Leawood South, Leawood, KS",73908
36081047600,"Queens County, NY",73907
36119014810,"Yorktown Heights, NY",73899
6085503313,"Evergreen, San Jose, CA",73882
36103134904,"Smithtown, NY",73872
51153901503,"Gainesville, VA",73870
6075013300,"Presidio Heights, San Francisco, CA",73803
36081053900,"Queens County, NY",73759
6037139504,"Encino, Los Angeles, CA",73759
36119004900,"Scarsdale, NY",73723
51013100300,"Old Glebe, Arlington, VA",73712
6075032802,"Sunset District, San Francisco, CA",73700
26161402300,"King, Ann Arbor, MI",73692
48113013101,"North Dallas, Dallas, TX",73684
6081607300,"Beresford Park, San Mateo, CA",73679
48085031656,"Wolf Creek Estates, Plano, TX",73675
25025120700,"Jamaica Plain, Boston, MA",73667
42091200602,"North Wales, PA",73645
48329010108,"Saddle Club South, Midland, TX",73627
6073002710,"Mid-City, San Diego, CA",73621
42091200606,"North Wales, PA",73605
6037264301,"Brentwood, Los Angeles, CA",73600
6059042336,"Laguna Niguel, CA",73584
4019004724,"Heatherwood Hills, Tucson, AZ",73566
51059460400,"Tysons, VA",73552
36119011102,"Ardsley, NY",73550
36059518203,"Woodbury, NY",73548
36061014801,"Upper East Side, New York, NY",73512
9001245500,"Ridgefield, CT",73508
6037134424,"Canoga Park, Los Angeles, CA",73507
34017017000,"Union City, NJ",73501
6037267300,"West Los Angeles, Los Angeles, CA",73486
42091201408,"Dresher, PA",73484
